,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
15,0.20077853614717922,-0.08756020220911354,-0.12319286116694594,0.0972791272259741,0.31672594995182646,0.3653341124148336,0.46466722604716215,0.5401929162716947,0.6225585479995581,0.6897225332845633,0.5661853033836448,0.2703689395944311,0.7703,0.29190000000000005,0.1001,0.2603,0.5611,0.7397,0.0263,0.4081,0.6685000000000001,0.4799,0.0343,0.411502,0.43187200000000003,0.46021999999999996,0.434198,0.46686099999999997,0.5235240000000001,0.036509200000000006,0.039087000000000004,0.0944696,0.1288812,0.1606068,0.2408812,0.21646824472000006,0.2275845215,0.26999321696,0.27540273231999995,0.30757819058,0.3765214797200001,0.036509200000000006,0.039087000000000004,0.0944696,0.1288812,0.1606068,0.2408812,2.41257,3.41364,3.6773160000000003,3.558314,4.6267239999999985,7.826718,54.88800000000001,2.3109,0.1001,0.5206,36.271,0.143558
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
165,0.19954334492648973,-0.09393928741037971,-0.02576374060756126,0.10074696384646309,0.32345822937276025,0.3668988958641507,0.4909416078199639,0.6307390227860751,0.7242789108115015,0.7257835757691079,0.5302202171232844,0.3399491088797014,0.5057,0.5303,0.1481,0.5339,0.8747,0.3861,0.5927,0.0121,0.1287,0.8997,0.6535,0.36184040000000006,0.37141440000000003,0.395444,0.37589959999999994,0.40964220000000007,0.4673848,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,0.33194233408,0.34367148018,0.3697278824,0.35634053831999996,0.38938398714,0.44988337276,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,4.62153,4.99956,5.5577640000000015,7.398505999999999,8.863396,12.278622,79.976,1.5171,0.1481,1.0678,57.727,0.094054
208,0.012993060862016126,-0.1228611477393371,-0.07693650583890332,0.09893966465725101,0.4795898038125216,0.5718778253976435,0.6287103456715435,0.617108322786585,0.5874344202217252,0.48677536849102054,0.23089184330947754,-0.06711832235535442,0.3751,0.8723000000000001,0.08330000000000001,0.9807,0.7225,0.7245,0.6429,0.9493,0.2635,0.8599,0.1217,0.374242,0.386512,0.41162,0.390458,0.42393100000000006,0.4814040000000001,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,0.32746440328000004,0.3389397840999999,0.3680688502399999,0.35483964848000005,0.38796987982000003,0.44873531388,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,4.81731,5.14012,5.724428,7.738861999999999,9.238892,12.673194,67.80000000000001,1.1253,0.08330000000000001,1.9614,88.507,0.14143
229,0.12546506725158313,-0.15471668928277627,-0.07813651233043761,0.09854280995369924,0.37172725274243734,0.4810076116430507,0.6217823051411949,0.6636613744671556,0.6939837500955335,0.645830534307962,0.4041249480181899,0.1471740077988859,0.05930000000000001,0.4319,0.4883,0.9291,0.8085,0.5727,0.9321,0.1703,0.6179,0.8051,0.1137,0.4068468,0.4262048,0.45414799999999994,0.42873320000000004,0.4614974,0.5182616,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,0.33534890440000004,0.35214829618,0.38516088416,0.37159195024,0.40402992662,0.46550006508,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,5.94519,5.94988,6.684572,9.699638,11.402108,14.946306,74.68,0.1779,0.4883,1.8582,48.871,0.12017799999999998
290,0.12628589349660913,-0.17186892584877533,-0.12948953356007342,0.10613759979589732,0.3669594626459103,0.4989251620588989,0.6184186367700977,0.6413139928126541,0.661582342244764,0.614481517111393,0.36911725582076815,0.13249594890701344,0.2041,0.4925000000000001,0.6643,0.8673000000000001,0.7709,0.5665,0.7165,0.1403,0.31710000000000005,0.8519000000000001,0.5395000000000001,0.3791732,0.3925152,0.41805200000000003,0.3962468,0.4296126,0.4869784,0.05873800000000001,0.08455499999999999,0.13084400000000002,0.171318,0.19900199999999998,0.28331799999999996,0.33171674688,0.34690629438000004,0.3755164952,0.36293484472,0.39545917014,0.4568162947600001,0.05873800000000001,0.08455499999999999,0.13084400000000002,0.171318,0.19900199999999998,0.28331799999999996,5.10435,5.3462,5.9687800000000015,8.237870000000001,9.78942,13.25169,71.672,0.6123000000000001,0.6643,1.7346,54.325,0.11930999999999999
336,0.09311482852276887,-0.09757861681449698,-0.02893195712805241,0.17284821456296262,0.39983531651540205,0.4696273992022133,0.5793000629952078,0.6576646067334206,0.6824420506553563,0.6226681440163642,0.34470756021292237,0.07079036541294315,0.9159,0.4371,0.1655,0.5967,0.9471,0.9707,0.8359000000000001,0.1907,0.7993,0.6437,0.1069,0.42353559999999996,0.4465216,0.475916,0.4483244,0.4807258,0.5371272,0.039703600000000006,0.045621,0.0996968,0.1349796,0.16612439999999998,0.24697960000000002,0.28677625840000004,0.3036807162199999,0.34186909904,0.33667964776000003,0.36863332118,0.4337476101200001,0.039703600000000006,0.045621,0.0996968,0.1349796,0.16612439999999998,0.24697960000000002,5.57001,5.68052,6.365188,9.047402000000002,10.682532000000002,14.190173999999999,85.76799999999999,2.7477,0.1655,1.1934,49.33900000000001,0.175898
430,0.29152883920162453,-0.02107817162974701,0.020269120466648638,0.14837802555815627,0.21470372081722555,0.023912189208681323,0.06650260042104827,0.2189664787927016,0.3609859492018429,0.5829761294830744,0.6491584011186008,0.4877741252938501,0.9535,0.31210000000000004,0.30110000000000003,0.1809,0.8067,0.7421,0.8383,0.9609,0.4053,0.5079,0.5885,0.38728759999999995,0.4023936,0.42863599999999996,0.40577240000000003,0.43896179999999996,0.49615119999999996,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,0.22666930944,0.24815538594,0.28382868559999996,0.29242287336,0.32271016282000003,0.39344146588,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,5.57937,5.687239999999999,6.373156,9.063674,10.700484,14.209038,74.536,2.8605,0.30110000000000003,0.3618,38.08900000000001,0.143894
445,0.14976891143517712,-0.1814569206254446,-0.0547498324952298,0.20853796755002074,0.3319489299564544,0.3970516170236348,0.5870969844211069,0.6847713597638052,0.7249733891768604,0.6770227993875035,0.4072587638521975,0.13448036615492176,0.8629,0.8971,0.8087,0.3271,0.1907,0.9541,0.1047,0.2619,0.2803,0.6849000000000001,0.0211,0.3757876,0.38839359999999995,0.41363599999999995,0.3922724,0.4257118,0.48315119999999995,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,0.26869796608,0.27795275154000004,0.31276719632,0.30892845,0.34186110618000004,0.4064625401200001,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,2.71833,3.63316,3.937604,4.089866000000001,5.213156,8.442942,25.256,2.5887,0.8087,0.6542,90.73899999999999,0.173574
550,0.0741281237159771,-0.15465532857063424,0.020120974379304934,0.17129226717647583,0.4340666590592491,0.5504388098073585,0.6512332361534304,0.6757515122017415,0.6699529105390458,0.5762192956291492,0.29593763542275253,-0.004030315583222643,0.34930000000000005,0.3239,0.7125,0.8147,0.7455,0.8687,0.7901,0.7885,0.3033,0.4873,0.22450000000000006,0.37790359999999995,0.3909696,0.416396,0.3947564,0.42814979999999997,0.48554319999999995,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,0.20716137488000005,0.21933578958,0.2583654536,0.26663349032,0.29839168494,0.36829629796,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,5.39139,5.5522800000000005,6.213132,8.736877999999999,10.339948,13.830186,69.64,1.0479000000000005,0.7125,1.6294,39.150999999999996,0.16161799999999998
623,0.003036814726269932,-0.24125025007686074,-0.05656653474941509,0.10937559008926978,0.41703414810078054,0.5521664078555597,0.6360373543588307,0.6219930981712389,0.6036346086208112,0.499584404998454,0.23214829051773045,-0.07318422267128111,0.6481,0.7283000000000001,0.2203,0.8057000000000001,0.5767,0.9427,0.4663000000000001,0.8987,0.9035,0.6245,0.5613,0.433122,0.458192,0.48841999999999997,0.459578,0.491771,0.5479640000000001,0.05969720000000001,0.086517,0.13241360000000002,0.17314920000000003,0.20065880000000005,0.2851492,0.29290098760000005,0.3186280375,0.3547395968,0.35202398560000003,0.3824583689000001,0.4492770426000001,0.05969720000000001,0.086517,0.13241360000000002,0.17314920000000003,0.20065880000000005,0.2851492,4.12857,4.64564,5.138116,6.541514,7.917924,11.285117999999999,56.136,1.9443,0.2203,1.6114000000000002,75.54700000000003,0.17197800000000002
