,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
43,0.0032224991329634634,-0.27907976828661085,-0.3343550544709284,-0.20753455352954164,0.34860876705183497,0.47131803576902553,0.5612353345016884,0.6815216163566831,0.6918364219587911,0.5793883280481307,0.3673364645019844,0.07043469632097776,0.7145,0.9429,0.7711,0.7197,0.8301000000000001,0.6113000000000001,0.1751,0.9599,0.0285,0.7479,0.0989,0.352622,0.360192,0.38342,0.365078,0.399021,0.456964,0.039351599999999994,0.044901,0.09912080000000001,0.1343076,0.1655164,0.24630760000000002,0.27364653215999996,0.2807071389,0.31174817168,0.30690078216000005,0.34015449034,0.40385752155999993,0.039351599999999994,0.044901,0.09912080000000001,0.1343076,0.1655164,0.24630760000000002,2.99289,3.83028,4.171332,4.567178,5.7397480000000005,8.996286,76.408,2.1435,0.7711,1.4394,94.861,0.125582
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
89,0.10384553249324313,-0.045357646663287676,-0.07150228015143822,-0.01008522882245666,0.41515351141369194,0.5455169743786692,0.6433577833278175,0.6821375569220464,0.6871641426713877,0.5965853792199928,0.3569314879238322,0.13559673853845833,0.25730000000000003,0.7467,0.2303,0.6897,0.5877,0.6977,0.3817,0.3845,0.3307,0.7501,0.4199000000000001,0.3804244,0.3940384,0.419684,0.3977156,0.43105420000000005,0.4883928,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,0.29871989488,0.31400857474,0.34535094512000003,0.3386282444,0.37079286418000007,0.43463401211999997,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,3.79863,4.40876,4.857244000000001,5.967926,7.285116,10.620161999999999,57.016000000000005,0.7719,0.2303,1.3794,77.203,0.137678
229,0.12546506725158313,-0.15471668928277627,-0.07813651233043761,0.09854280995369924,0.37172725274243734,0.4810076116430507,0.6217823051411949,0.6636613744671556,0.6939837500955335,0.645830534307962,0.4041249480181899,0.1471740077988859,0.05930000000000001,0.4319,0.4883,0.9291,0.8085,0.5727,0.9321,0.1703,0.6179,0.8051,0.1137,0.4068468,0.4262048,0.45414799999999994,0.42873320000000004,0.4614974,0.5182616,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,0.33534890440000004,0.35214829618,0.38516088416,0.37159195024,0.40402992662,0.46550006508,0.040002800000000005,0.046233,0.1001864,0.13555079999999997,0.16664120000000002,0.2475508,5.94519,5.94988,6.684572,9.699638,11.402108,14.946306,74.68,0.1779,0.4883,1.8582,48.871,0.12017799999999998
233,0.11028210013911577,-0.13470951774954476,-0.10409395568600455,-0.07109301107710331,0.3312050483278709,0.4486441772926485,0.5891033956628109,0.6898766461849923,0.7241765788411768,0.654180281447492,0.40988310915396053,0.20004403808182614,0.8445,0.9451,0.7903,0.4525,0.4313,0.8549,0.23210000000000006,0.6109,0.2307,0.8009000000000001,0.1249,0.3712244,0.3828384,0.407684,0.3869156,0.42045420000000006,0.4779928,0.040495600000000014,0.047241000000000005,0.1009928,0.13649160000000002,0.16749239999999999,0.2484916,0.30537629592000004,0.31602095766,0.34662178208000005,0.33705618159999995,0.37008950562,0.43229911108,0.040495600000000014,0.047241000000000005,0.1009928,0.13649160000000002,0.16749239999999999,0.2484916,3.21519,3.9898800000000003,4.360572,4.953638,6.166108,9.444306,44.50400000000001,2.5335,0.7903,0.905,95.059,0.159686
299,-0.13602826533985568,-0.8213585133833465,-0.9142508885287632,-0.7902330731975054,0.1568445051191648,0.28106193484780784,0.3409396518084692,0.6639662317105264,0.7019972519870639,0.6758948390364882,0.27315225570601953,-0.12697096200178426,0.5527,0.6211,0.8285,0.17270000000000002,0.31010000000000004,0.8441000000000001,0.13230000000000006,0.1361,0.3337,0.0165,0.3605,0.38070040000000005,0.3943744,0.420044,0.3980396,0.4313722,0.4887048000000001,0.050862,0.068445,0.11795599999999999,0.156282,0.185398,0.268282,0.05630433360000001,0.07382283510000001,0.12294045199999999,0.1602710004,0.18945657429999999,0.2719189762,0.050862,0.068445,0.11795599999999999,0.156282,0.185398,0.268282,2.8259700000000003,3.71044,4.029236,4.276994,5.419604,8.659877999999999,34.80800000000001,1.6581,0.8285,0.34540000000000004,65.899,0.158174
445,0.14976891143517712,-0.1814569206254446,-0.0547498324952298,0.20853796755002074,0.3319489299564544,0.3970516170236348,0.5870969844211069,0.6847713597638052,0.7249733891768604,0.6770227993875035,0.4072587638521975,0.13448036615492176,0.8629,0.8971,0.8087,0.3271,0.1907,0.9541,0.1047,0.2619,0.2803,0.6849000000000001,0.0211,0.3757876,0.38839359999999995,0.41363599999999995,0.3922724,0.4257118,0.48315119999999995,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,0.26869796608,0.27795275154000004,0.31276719632,0.30892845,0.34186110618000004,0.4064625401200001,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,2.71833,3.63316,3.937604,4.089866000000001,5.213156,8.442942,25.256,2.5887,0.8087,0.6542,90.73899999999999,0.173574
550,0.0741281237159771,-0.15465532857063424,0.020120974379304934,0.17129226717647583,0.4340666590592491,0.5504388098073585,0.6512332361534304,0.6757515122017415,0.6699529105390458,0.5762192956291492,0.29593763542275253,-0.004030315583222643,0.34930000000000005,0.3239,0.7125,0.8147,0.7455,0.8687,0.7901,0.7885,0.3033,0.4873,0.22450000000000006,0.37790359999999995,0.3909696,0.416396,0.3947564,0.42814979999999997,0.48554319999999995,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,0.20716137488000005,0.21933578958,0.2583654536,0.26663349032,0.29839168494,0.36829629796,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,5.39139,5.5522800000000005,6.213132,8.736877999999999,10.339948,13.830186,69.64,1.0479000000000005,0.7125,1.6294,39.150999999999996,0.16161799999999998
564,0.014287582571336999,-0.5241297804628771,-0.5226592802279455,-0.4287757530693035,0.26568530980800553,0.446252289867923,0.5821233440258977,0.6721529122948482,0.6671446454667647,0.5602587038707226,0.3265304323170417,0.07962872232187035,0.0029,0.5855,0.8455,0.8641000000000001,0.8405,0.7735000000000001,0.0643,0.28790000000000004,0.9039,0.4915000000000001,0.4013,0.43315879999999995,0.45823679999999994,0.488468,0.4596212,0.4918134,0.5480056000000001,0.0526572,0.07211699999999999,0.12089360000000002,0.15970920000000002,0.1884988,0.2717092,0.2396737364,0.2618948817,0.3015564176,0.307115948,0.3375779259,0.4075088806,0.0526572,0.07211699999999999,0.12089360000000002,0.15970920000000002,0.1884988,0.2717092,2.56077,3.5200400000000003,3.8034760000000003,3.815954,4.910964,8.125397999999999,77.24000000000002,0.0087,0.8455,1.7282000000000002,62.695,0.14829
