,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
91,0.2598870360142389,-0.2134960329660427,-0.2506577315333236,-0.21443078258111026,-0.13434593436069298,-0.48420257565816627,-0.3412715471227339,-0.069472546228879,0.16165583696274588,0.4760276333712822,0.6420793854695102,0.517442755249899,0.1931,0.1493,0.5119,0.2615,0.6777,0.4467,0.0641,0.8345,0.7023,0.4091,0.4075,0.4146116,0.4356576,0.464276,0.4378484,0.4704438,0.5270391999999999,0.052930000000000005,0.07267499999999999,0.12134,0.16022999999999998,0.18897,0.27223,0.20089394256,0.22117118165999997,0.2616351176,0.27380368744000005,0.30412093158000003,0.37647244372,0.052930000000000005,0.07267499999999999,0.12134,0.16022999999999998,0.18897,0.27223,2.55999,3.51948,3.8028120000000003,3.814598,4.909468,8.123826000000001,64.21600000000001,0.5792999999999999,0.5119,0.523,23.437,0.102538
251,0.16238243632062865,-0.33185598896529855,-0.34565484511894584,-0.24908879726274114,-0.13028916087171227,-0.5235664080105751,-0.4577251308804442,-0.2143170197653974,0.011172099304284422,0.3671028512452743,0.5960098900546439,0.46076370124557275,0.6729,0.4207,0.5907,0.2073,0.8455,0.2489,0.1925,0.8245,0.9939,0.7003,0.8661000000000001,0.44143879999999996,0.4683168,0.49926800000000005,0.4693412,0.5013534000000001,0.5573656,0.07310839999999999,0.113949,0.15435920000000006,0.1987524,0.22382359999999998,0.31075240000000004,0.33105017911999995,0.36211277034,0.39589883264,0.38824573664,0.41817771894,0.4834556239600001,0.07310839999999999,0.113949,0.15435920000000006,0.1987524,0.22382359999999998,0.31075240000000004,3.06075,3.879,4.2291,4.68515,5.8699,9.13305,77.64,2.0187,0.5907,0.4146,47.863,0.07484600000000001
430,0.29152883920162453,-0.02107817162974701,0.020269120466648638,0.14837802555815627,0.21470372081722555,0.023912189208681323,0.06650260042104827,0.2189664787927016,0.3609859492018429,0.5829761294830744,0.6491584011186008,0.4877741252938501,0.9535,0.31210000000000004,0.30110000000000003,0.1809,0.8067,0.7421,0.8383,0.9609,0.4053,0.5079,0.5885,0.38728759999999995,0.4023936,0.42863599999999996,0.40577240000000003,0.43896179999999996,0.49615119999999996,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,0.22666930944,0.24815538594,0.28382868559999996,0.29242287336,0.32271016282000003,0.39344146588,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,5.57937,5.687239999999999,6.373156,9.063674,10.700484,14.209038,74.536,2.8605,0.30110000000000003,0.3618,38.08900000000001,0.143894
548,0.26504394091863615,-0.09576834797148526,-0.10522556922641768,-0.05384645887691475,0.04311002956548693,-0.20200781742597718,-0.09513082046580656,0.19675070271347217,0.44674896872185954,0.6773136837466677,0.6624213256692454,0.47693633132738766,0.5417000000000001,0.2005,0.2201,0.1927,0.7761,0.7941,0.3229,0.2581,0.5957,0.2621,0.9555,0.4048044,0.4237184,0.451484,0.4263356,0.4591442,0.5159528,0.077042,0.121995,0.160796,0.206262,0.230618,0.318262,0.16294852504,0.20107670314,0.2369853248,0.26394329056,0.29051471702000004,0.37007675868,0.077042,0.121995,0.160796,0.206262,0.230618,0.318262,3.5693099999999998,4.24412,4.662028,5.569262,6.8452920000000015,10.157994,72.08800000000001,1.6251000000000002,0.2201,0.3854,28.045,0.151174
569,0.2680800179656513,-0.21908944538225494,-0.32311345579149187,-0.1859476718277011,0.013623467530947453,-0.12284174982919249,0.0701639674752439,0.2768445468767833,0.4015665684288343,0.5498437983133206,0.6199255271186049,0.48618032322830584,0.0585,0.33190000000000003,0.5647,0.2605,0.4225,0.9225,0.5513,0.35810000000000003,0.5327000000000001,0.8611,0.7545000000000001,0.39900840000000004,0.4166624,0.443924,0.4195316,0.4524662,0.5094008000000001,0.06819800000000001,0.103905,0.146324,0.189378,0.215342,0.30137800000000003,0.35305883543999994,0.37322039714,0.40258736,0.38756326496,0.41952964862,0.4805064330800001,0.06819800000000001,0.103905,0.146324,0.189378,0.215342,0.30137800000000003,4.46007,4.88364,5.420316000000001,7.117814,8.553723999999999,11.953218,43.8,0.17550000000000002,0.5647,0.521,39.871,0.16915
688,0.38789245985365073,0.12316980490489404,0.04428773957818932,0.19177245612253546,0.4438790466227994,0.30560232391317743,0.12442981369729056,-0.08333905282812992,-0.4119324490424807,-0.4584776237608488,0.19233199065077833,0.5173493821000518,0.9461,0.14229999999999998,0.6187,0.048700000000000014,0.8531000000000001,0.7571,0.042900000000000015,0.4653000000000001,0.4869,0.2763,0.1573,0.3947948,0.4115328,0.438428,0.4145852,0.44761140000000005,0.5046376,0.041921200000000006,0.050156999999999986,0.1033256,0.1392132,0.16995480000000002,0.2512132,0.13942017568,0.15000513354,0.19591439312,0.2152984836,0.24667131858,0.32123436172,0.041921200000000006,0.050156999999999986,0.1033256,0.1392132,0.16995480000000002,0.2512132,2.4773099999999997,3.46012,3.732428,3.670862,4.750892,7.957194,78.248,2.8383000000000003,0.6187,0.0974,22.807,0.14599399999999998
704,-0.00983642594822598,-0.6395761253139143,-0.9761192680331345,-0.9779899325000818,-0.6399665045569978,-0.9381300648855657,-0.4535631681155625,-0.039947795066122005,0.3513079095524575,0.6331214591659429,0.5948780174771948,0.4751877751566541,0.4295,0.8569,0.26870000000000005,0.041900000000000014,0.016900000000000002,0.4743000000000001,0.2389,0.1015,0.016300000000000002,0.3999,0.2659,0.3514996,0.3588256,0.381956,0.36376040000000004,0.39772779999999996,0.4556952,0.046699600000000015,0.05993099999999999,0.11114480000000002,0.1483356,0.17820840000000002,0.2603356,0.16858911999999998,0.17945895054000002,0.21944219888,0.23448397751999997,0.26599420805999996,0.33845990404000004,0.046699600000000015,0.05993099999999999,0.11114480000000002,0.1483356,0.17820840000000002,0.2603356,3.2417100000000003,4.00892,4.383148,4.999742,6.216972,9.497753999999999,11.352,1.2885,0.26870000000000005,0.08380000000000001,87.12100000000001,0.106402
1180,0.3378608924506854,0.02714348627277774,-0.05453839394803528,0.10807970160051095,0.28656107343104553,0.11275373596771654,0.059052837465471075,0.06123441470350732,-0.008398181171664909,0.09650450211847383,0.47379924963134057,0.5389174281960478,0.7967000000000001,0.2673,0.6833,0.1619,0.8499000000000001,0.4963,0.4645,0.9509,0.9169,0.9049,0.0277,0.4343548,0.4596928,0.49002799999999996,0.4610252,0.49319140000000006,0.5493576,0.0362188,0.038493,0.09399439999999999,0.1283268,0.1601052,0.2403268,0.3964920664000001,0.41963669901999995,0.45236520464,0.42938558216,0.46151490238,0.51996877092,0.0362188,0.038493,0.09399439999999999,0.1283268,0.1601052,0.2403268,4.12155,4.6406,5.13214,6.5293100000000015,7.90446,11.27097,77.992,2.3901000000000003,0.6833,0.3238,34.056999999999995,0.109482
1239,0.24690561994617255,-0.2460293547090191,-0.44100076275528544,-0.34162580975983525,-0.17814543704409957,-0.5049057525822658,-0.434554943825767,-0.3084332676147039,-0.3144731044130211,-0.12711204544095822,0.38006757450232564,0.49663260874767734,0.19230000000000005,0.1829,0.7165,0.1195,0.3385,0.28190000000000004,0.5939000000000001,0.6119,0.7181000000000001,0.6681,0.9675,0.4160652,0.4374272,0.466172,0.4395548,0.47211859999999994,0.5286824000000001,0.07757,0.123075,0.16166000000000005,0.20726999999999998,0.23153,0.31927,0.30371864311999996,0.33309370481999995,0.3651044672,0.36245947488,0.39226724366,0.4591784244400001,0.07757,0.123075,0.16166000000000005,0.20726999999999998,0.23153,0.31927,4.6262099999999995,5.00292,5.5617480000000015,7.4066420000000015,8.872372,12.288053999999999,37.08,0.5769000000000001,0.7165,0.239,26.461,0.07946600000000001
1278,0.3067288783197015,-0.010466603473655578,-0.059385135777396014,0.0994419486436654,0.2572345603837136,0.10831893950873295,0.11291324771224986,0.16707559420321683,0.182406543781522,0.3510439052173404,0.5837229010638512,0.5032997019769374,0.9621,0.3605,0.5351,0.1971,0.8443,0.8653000000000001,0.9945,0.6175,0.8185,0.9231,0.3451,0.42530200000000007,0.448672,0.47822,0.450398,0.48276099999999994,0.5391239999999999,0.0501844,0.06705900000000001,0.1168472,0.1549884,0.1842276,0.2669884,0.39645545656,0.4193259603,0.45043043168,0.4276810017599999,0.45980378154,0.5181967723600001,0.0501844,0.06705900000000001,0.1168472,0.1549884,0.1842276,0.2669884,6.18855,6.1246,6.8917399999999995,10.12271,11.868860000000002,15.43677,77.54400000000003,2.8863000000000003,0.5351,0.3942,42.44500000000001,0.161142
