,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
89,0.10384553249324313,-0.045357646663287676,-0.07150228015143822,-0.01008522882245666,0.41515351141369194,0.5455169743786692,0.6433577833278175,0.6821375569220464,0.6871641426713877,0.5965853792199928,0.3569314879238322,0.13559673853845833,0.25730000000000003,0.7467,0.2303,0.6897,0.5877,0.6977,0.3817,0.3845,0.3307,0.7501,0.4199000000000001,0.3804244,0.3940384,0.419684,0.3977156,0.43105420000000005,0.4883928,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,0.29871989488,0.31400857474,0.34535094512000003,0.3386282444,0.37079286418000007,0.43463401211999997,0.053475600000000005,0.073791,0.1222328,0.1612716,0.1899124,0.2732716,3.79863,4.40876,4.857244000000001,5.967926,7.285116,10.620161999999999,57.016000000000005,0.7719,0.2303,1.3794,77.203,0.137678
208,0.012993060862016126,-0.1228611477393371,-0.07693650583890332,0.09893966465725101,0.4795898038125216,0.5718778253976435,0.6287103456715435,0.617108322786585,0.5874344202217252,0.48677536849102054,0.23089184330947754,-0.06711832235535442,0.3751,0.8723000000000001,0.08330000000000001,0.9807,0.7225,0.7245,0.6429,0.9493,0.2635,0.8599,0.1217,0.374242,0.386512,0.41162,0.390458,0.42393100000000006,0.4814040000000001,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,0.32746440328000004,0.3389397840999999,0.3680688502399999,0.35483964848000005,0.38796987982000003,0.44873531388,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,4.81731,5.14012,5.724428,7.738861999999999,9.238892,12.673194,67.80000000000001,1.1253,0.08330000000000001,1.9614,88.507,0.14143
267,0.022290348657776793,-0.18002785520661613,-0.20633550567893333,-0.03707596447337402,0.3761194775056239,0.5407851296839352,0.5918165671219444,0.5889814488349683,0.5530033531119294,0.4263288754635668,0.12577070878253838,-0.28778205575333304,0.5943,0.9159,0.1511,0.5505,0.3527,0.9867,0.08310000000000001,0.1573,0.9125,0.34530000000000005,0.9539,0.43395,0.4592,0.4895,0.46055,0.492725,0.5489,0.0769716,0.121851,0.1606808,0.2061276,0.2304964,0.3181276,0.20023624152,0.23833760970000006,0.27422206976,0.29397965472000004,0.32104393558000005,0.3978133097200001,0.0769716,0.121851,0.1606808,0.2061276,0.2304964,0.3181276,2.63409,3.57268,3.865892,3.943418,5.051588,8.273166,38.216,1.7829000000000002,0.1511,1.101,92.431,0.17813800000000002
270,0.04587701053163595,-0.14493208455761808,-0.17911719769736,-0.012894473365520964,0.47042669385789004,0.5508404449871706,0.5648480026884639,0.5396791912490553,0.5081413846340427,0.4250321901310169,0.18786197561634999,0.09607421227857427,0.1753,0.9825,0.7917000000000001,0.9261,0.6761,0.7907000000000001,0.9759,0.3177,0.4769,0.6899000000000001,0.9833,0.3938748,0.4104128,0.43722799999999995,0.4135052,0.4465514,0.5035976,0.07826520000000001,0.124497,0.1627976,0.2085972,0.2327308,0.3205972,0.29600426304,0.32175031042,0.35212713296,0.3499632292,0.3802456319400001,0.44684917596,0.07826520000000001,0.124497,0.1627976,0.2085972,0.2327308,0.3205972,6.116009999999998,6.072519999999999,6.829988,9.996602000000001,11.729732,15.290574,64.08800000000001,0.5259,0.7917000000000001,1.8522,98.425,0.150698
374,-0.06982387064731044,-0.4296404198351058,-0.14936591619892847,0.07965470808362507,0.45873603165337284,0.5321367243466004,0.5908092435821561,0.5623763853760296,0.5037415609955895,0.40835358809874767,0.12795100037601215,-0.02009810739384177,0.7167,0.6173000000000001,0.7115,0.7601,0.7171000000000001,0.8317000000000001,0.9995,0.3875,0.1295,0.34550000000000003,0.17110000000000006,0.361914,0.371504,0.39554,0.375986,0.40972700000000006,0.46746800000000005,0.042528400000000015,0.051399,0.1043192,0.14037239999999998,0.1710036,0.2523724,0.1528761248,0.1619952775,0.20493598640000002,0.22177689879999998,0.25348253470000004,0.3266879298,0.042528400000000015,0.051399,0.1043192,0.14037239999999998,0.1710036,0.2523724,6.20805,6.1386,6.908340000000001,10.15661,11.906260000000001,15.476070000000002,67.36800000000001,2.1501,0.7115,1.5202,65.55700000000002,0.15643800000000002
379,0.005095255995251069,-0.13560883568687876,-0.09021111397047732,0.07132726340410067,0.4478731851646236,0.5582166584185563,0.6229663411153348,0.6229904963567146,0.5947831831712627,0.49018124666929375,0.22365816936671468,-0.04682736060590309,0.3995,0.7545000000000001,0.4657,0.9245,0.7591,0.7309,0.7611,0.2127,0.4703000000000001,0.7869,0.29190000000000005,0.3932676,0.4096736,0.436436,0.4127924,0.4458518,0.5029112,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,0.3196577456,0.33564210594000005,0.36751536848000005,0.35690206632,0.38923807706,0.4516837500400001,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,5.27829,5.471080000000001,6.116852,8.540258,10.123028,13.602246,70.72800000000002,1.1985,0.4657,1.849,77.905,0.14232599999999998
461,0.04019403493585716,-0.25195667166713864,-0.24630191198870466,-0.005060605577408284,0.4357690834389535,0.5486011992765432,0.6060548984838986,0.6036238866104601,0.5567007077273912,0.4543201470042768,0.18488544282512376,0.12753921146600256,0.4043,0.5407000000000001,0.6599,0.6219,0.5849,0.9837,0.9331,0.5015000000000001,0.21750000000000005,0.4021,0.6331,0.37001,0.38136,0.4061,0.38549,0.419055,0.47662,0.06285639999999999,0.092979,0.13758320000000002,0.1791804,0.20611559999999998,0.2911804,0.18636286255999998,0.20893700010000002,0.24555380528000004,0.26213749016,0.29173853274,0.36574566316,0.06285639999999999,0.092979,0.13758320000000002,0.1791804,0.20611559999999998,0.2911804,5.94909,5.95268,6.687892,9.706418,11.409588000000001,14.954166,56.792,1.2129,0.6599,1.2438,58.663,0.17771800000000001
493,0.04638695766216372,-0.1497930034726329,-0.21635484117765702,-0.06535440604184273,0.40657427482536945,0.5451654769881595,0.6362782078566134,0.6535603217794309,0.6374766869341535,0.5449175270522454,0.32390601971401944,0.08357222340544945,0.0517,0.7977000000000001,0.4437,0.7687,0.5901000000000001,0.8411000000000001,0.4421000000000001,0.7873,0.5945,0.7253000000000001,0.4091,0.404694,0.423584,0.45133999999999996,0.42620600000000003,0.459017,0.5158280000000001,0.0530004,0.07281900000000001,0.12145519999999999,0.1603644,0.18909160000000003,0.2723644,0.30808376808000004,0.32722885450000005,0.36072064544,0.35317931248,0.38486849261999995,0.44894854908,0.0530004,0.07281900000000001,0.12145519999999999,0.1603644,0.18909160000000003,0.2723644,4.0341900000000015,4.57788,5.057772,6.377438,7.736908000000001,11.094906000000002,57.20800000000001,0.15510000000000002,0.4437,1.5374,81.793,0.157754
