,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
107,0.15797996652833068,-0.1438365401762458,-0.05597510960260221,0.04630254784286447,0.27571879303352775,0.3511473463884709,0.5263770611862775,0.6466919275507998,0.717976344044724,0.6907135288869061,0.45974994351741816,0.25262393570880637,0.5821000000000001,0.4661,0.7027,0.3737,0.5561,0.7575000000000001,0.9273,0.24370000000000006,0.13090000000000002,0.6489,0.8445,0.3620428,0.3716608,0.395708,0.3761372,0.4098754,0.46761359999999996,0.072158,0.112005,0.152804,0.196938,0.222182,0.308938,0.26026424672000004,0.28049564862,0.3104244056,0.31322036088000005,0.34397624726,0.41190259684,0.072158,0.112005,0.152804,0.196938,0.222182,0.308938,5.92647,5.936439999999998,6.668636,9.667094,11.366204,14.908578,54.488,1.7463000000000002,0.7027,0.7474000000000001,51.949,0.14605
165,0.19954334492648973,-0.09393928741037971,-0.02576374060756126,0.10074696384646309,0.32345822937276025,0.3668988958641507,0.4909416078199639,0.6307390227860751,0.7242789108115015,0.7257835757691079,0.5302202171232844,0.3399491088797014,0.5057,0.5303,0.1481,0.5339,0.8747,0.3861,0.5927,0.0121,0.1287,0.8997,0.6535,0.36184040000000006,0.37141440000000003,0.395444,0.37589959999999994,0.40964220000000007,0.4673848,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,0.33194233408,0.34367148018,0.3697278824,0.35634053831999996,0.38938398714,0.44988337276,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,4.62153,4.99956,5.5577640000000015,7.398505999999999,8.863396,12.278622,79.976,1.5171,0.1481,1.0678,57.727,0.094054
336,0.09311482852276887,-0.09757861681449698,-0.02893195712805241,0.17284821456296262,0.39983531651540205,0.4696273992022133,0.5793000629952078,0.6576646067334206,0.6824420506553563,0.6226681440163642,0.34470756021292237,0.07079036541294315,0.9159,0.4371,0.1655,0.5967,0.9471,0.9707,0.8359000000000001,0.1907,0.7993,0.6437,0.1069,0.42353559999999996,0.4465216,0.475916,0.4483244,0.4807258,0.5371272,0.039703600000000006,0.045621,0.0996968,0.1349796,0.16612439999999998,0.24697960000000002,0.28677625840000004,0.3036807162199999,0.34186909904,0.33667964776000003,0.36863332118,0.4337476101200001,0.039703600000000006,0.045621,0.0996968,0.1349796,0.16612439999999998,0.24697960000000002,5.57001,5.68052,6.365188,9.047402000000002,10.682532000000002,14.190173999999999,85.76799999999999,2.7477,0.1655,1.1934,49.33900000000001,0.175898
430,0.29152883920162453,-0.02107817162974701,0.020269120466648638,0.14837802555815627,0.21470372081722555,0.023912189208681323,0.06650260042104827,0.2189664787927016,0.3609859492018429,0.5829761294830744,0.6491584011186008,0.4877741252938501,0.9535,0.31210000000000004,0.30110000000000003,0.1809,0.8067,0.7421,0.8383,0.9609,0.4053,0.5079,0.5885,0.38728759999999995,0.4023936,0.42863599999999996,0.40577240000000003,0.43896179999999996,0.49615119999999996,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,0.22666930944,0.24815538594,0.28382868559999996,0.29242287336,0.32271016282000003,0.39344146588,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,5.57937,5.687239999999999,6.373156,9.063674,10.700484,14.209038,74.536,2.8605,0.30110000000000003,0.3618,38.08900000000001,0.143894
445,0.14976891143517712,-0.1814569206254446,-0.0547498324952298,0.20853796755002074,0.3319489299564544,0.3970516170236348,0.5870969844211069,0.6847713597638052,0.7249733891768604,0.6770227993875035,0.4072587638521975,0.13448036615492176,0.8629,0.8971,0.8087,0.3271,0.1907,0.9541,0.1047,0.2619,0.2803,0.6849000000000001,0.0211,0.3757876,0.38839359999999995,0.41363599999999995,0.3922724,0.4257118,0.48315119999999995,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,0.26869796608,0.27795275154000004,0.31276719632,0.30892845,0.34186110618000004,0.4064625401200001,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,2.71833,3.63316,3.937604,4.089866000000001,5.213156,8.442942,25.256,2.5887,0.8087,0.6542,90.73899999999999,0.173574
508,0.18694483708300969,-0.004302536434520832,-0.03145194757622338,0.08137724422751069,0.5390416901954969,0.5899772766819267,0.5823983493948584,0.5843162040020253,0.5397197225282802,0.44022772388292375,0.21500282362433032,0.12276120975955185,0.7757000000000001,0.6943,0.0547,0.7221000000000001,0.7117,0.9163,0.9661,0.15550000000000005,0.0473,0.4069,0.9839,0.3543516,0.36229759999999994,0.385676,0.3671084,0.4010138,0.4589192,0.0782916,0.124551,0.16284079999999998,0.20864760000000002,0.23277640000000002,0.32064760000000003,0.190620414,0.22129009153999998,0.25351244288,0.27312529952,0.30123219805999996,0.37691031403999997,0.0782916,0.124551,0.16284079999999998,0.20864760000000002,0.23277640000000002,0.32064760000000003,6.07779,6.0450800000000005,6.797452000000001,9.930158,11.656428000000002,15.213546,66.936,2.3271,0.0547,1.4442000000000002,72.487,0.168282
550,0.0741281237159771,-0.15465532857063424,0.020120974379304934,0.17129226717647583,0.4340666590592491,0.5504388098073585,0.6512332361534304,0.6757515122017415,0.6699529105390458,0.5762192956291492,0.29593763542275253,-0.004030315583222643,0.34930000000000005,0.3239,0.7125,0.8147,0.7455,0.8687,0.7901,0.7885,0.3033,0.4873,0.22450000000000006,0.37790359999999995,0.3909696,0.416396,0.3947564,0.42814979999999997,0.48554319999999995,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,0.20716137488000005,0.21933578958,0.2583654536,0.26663349032,0.29839168494,0.36829629796,0.044877999999999994,0.056205,0.108164,0.144858,0.175062,0.256858,5.39139,5.5522800000000005,6.213132,8.736877999999999,10.339948,13.830186,69.64,1.0479000000000005,0.7125,1.6294,39.150999999999996,0.16161799999999998
623,0.003036814726269932,-0.24125025007686074,-0.05656653474941509,0.10937559008926978,0.41703414810078054,0.5521664078555597,0.6360373543588307,0.6219930981712389,0.6036346086208112,0.499584404998454,0.23214829051773045,-0.07318422267128111,0.6481,0.7283000000000001,0.2203,0.8057000000000001,0.5767,0.9427,0.4663000000000001,0.8987,0.9035,0.6245,0.5613,0.433122,0.458192,0.48841999999999997,0.459578,0.491771,0.5479640000000001,0.05969720000000001,0.086517,0.13241360000000002,0.17314920000000003,0.20065880000000005,0.2851492,0.29290098760000005,0.3186280375,0.3547395968,0.35202398560000003,0.3824583689000001,0.4492770426000001,0.05969720000000001,0.086517,0.13241360000000002,0.17314920000000003,0.20065880000000005,0.2851492,4.12857,4.64564,5.138116,6.541514,7.917924,11.285117999999999,56.136,1.9443,0.2203,1.6114000000000002,75.54700000000003,0.17197800000000002
