,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
48,0.1886888162239695,0.05202608597274949,0.05562033565869362,0.21145473947112892,0.5075428684899871,0.6180816632686001,0.6660591766435935,0.6758189450453944,0.6669943373302517,0.5795189447679707,0.3443162706918562,0.1520585500216235,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.16056052663554288,0.07150101724555602,0.14114850312173255,0.2185317718749502,0.5152831307308635,0.6214003489396367,0.6766527916670508,0.6789602713432916,0.674252142108433,0.5875536207549366,0.3013446858892075,0.054207594396249226,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
208,0.012993060862016126,-0.1228611477393371,-0.07693650583890332,0.09893966465725101,0.4795898038125216,0.5718778253976435,0.6287103456715435,0.617108322786585,0.5874344202217252,0.48677536849102054,0.23089184330947754,-0.06711832235535442,0.3751,0.8723000000000001,0.08330000000000001,0.9807,0.7225,0.7245,0.6429,0.9493,0.2635,0.8599,0.1217,0.374242,0.386512,0.41162,0.390458,0.42393100000000006,0.4814040000000001,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,0.32746440328000004,0.3389397840999999,0.3680688502399999,0.35483964848000005,0.38796987982000003,0.44873531388,0.0403548,0.046953,0.10076239999999999,0.13622279999999998,0.1672492,0.2482228,4.81731,5.14012,5.724428,7.738861999999999,9.238892,12.673194,67.80000000000001,1.1253,0.08330000000000001,1.9614,88.507,0.14143
270,0.04587701053163595,-0.14493208455761808,-0.17911719769736,-0.012894473365520964,0.47042669385789004,0.5508404449871706,0.5648480026884639,0.5396791912490553,0.5081413846340427,0.4250321901310169,0.18786197561634999,0.09607421227857427,0.1753,0.9825,0.7917000000000001,0.9261,0.6761,0.7907000000000001,0.9759,0.3177,0.4769,0.6899000000000001,0.9833,0.3938748,0.4104128,0.43722799999999995,0.4135052,0.4465514,0.5035976,0.07826520000000001,0.124497,0.1627976,0.2085972,0.2327308,0.3205972,0.29600426304,0.32175031042,0.35212713296,0.3499632292,0.3802456319400001,0.44684917596,0.07826520000000001,0.124497,0.1627976,0.2085972,0.2327308,0.3205972,6.116009999999998,6.072519999999999,6.829988,9.996602000000001,11.729732,15.290574,64.08800000000001,0.5259,0.7917000000000001,1.8522,98.425,0.150698
358,-0.017960382197944824,-0.7335118333494193,-0.17191240601765223,-0.20615400690021546,0.47296813330997356,0.410404158055239,0.45992517383212905,0.5345869452760046,0.45925911653484874,0.37041226349173084,0.22232526792799545,-0.06798846999307395,0.5155000000000001,0.9137,0.5103,0.9163,0.9139,0.8289000000000001,0.9885,0.3587,0.0859,0.21650000000000005,0.7115,0.3579028,0.3666208,0.390308,0.3712772,0.4051054,0.46293359999999995,0.06630599999999999,0.100035,0.14322800000000002,0.18576600000000001,0.21207399999999998,0.297766,0.1294367072,0.1577508257,0.19672082,0.2259291748,0.25386529809999997,0.3335247854,0.06630599999999999,0.100035,0.14322800000000002,0.18576600000000001,0.21207399999999998,0.297766,6.1651500000000015,6.107799999999999,6.8718200000000005,10.08203,11.82398,15.38961,83.11200000000002,1.5465000000000002,0.5103,1.8326,92.23299999999999,0.156046
374,-0.06982387064731044,-0.4296404198351058,-0.14936591619892847,0.07965470808362507,0.45873603165337284,0.5321367243466004,0.5908092435821561,0.5623763853760296,0.5037415609955895,0.40835358809874767,0.12795100037601215,-0.02009810739384177,0.7167,0.6173000000000001,0.7115,0.7601,0.7171000000000001,0.8317000000000001,0.9995,0.3875,0.1295,0.34550000000000003,0.17110000000000006,0.361914,0.371504,0.39554,0.375986,0.40972700000000006,0.46746800000000005,0.042528400000000015,0.051399,0.1043192,0.14037239999999998,0.1710036,0.2523724,0.1528761248,0.1619952775,0.20493598640000002,0.22177689879999998,0.25348253470000004,0.3266879298,0.042528400000000015,0.051399,0.1043192,0.14037239999999998,0.1710036,0.2523724,6.20805,6.1386,6.908340000000001,10.15661,11.906260000000001,15.476070000000002,67.36800000000001,2.1501,0.7115,1.5202,65.55700000000002,0.15643800000000002
379,0.005095255995251069,-0.13560883568687876,-0.09021111397047732,0.07132726340410067,0.4478731851646236,0.5582166584185563,0.6229663411153348,0.6229904963567146,0.5947831831712627,0.49018124666929375,0.22365816936671468,-0.04682736060590309,0.3995,0.7545000000000001,0.4657,0.9245,0.7591,0.7309,0.7611,0.2127,0.4703000000000001,0.7869,0.29190000000000005,0.3932676,0.4096736,0.436436,0.4127924,0.4458518,0.5029112,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,0.3196577456,0.33564210594000005,0.36751536848000005,0.35690206632,0.38923807706,0.4516837500400001,0.047843600000000014,0.06227100000000001,0.11301680000000001,0.1505196,0.1801844,0.26251959999999996,5.27829,5.471080000000001,6.116852,8.540258,10.123028,13.602246,70.72800000000002,1.1985,0.4657,1.849,77.905,0.14232599999999998
461,0.04019403493585716,-0.25195667166713864,-0.24630191198870466,-0.005060605577408284,0.4357690834389535,0.5486011992765432,0.6060548984838986,0.6036238866104601,0.5567007077273912,0.4543201470042768,0.18488544282512376,0.12753921146600256,0.4043,0.5407000000000001,0.6599,0.6219,0.5849,0.9837,0.9331,0.5015000000000001,0.21750000000000005,0.4021,0.6331,0.37001,0.38136,0.4061,0.38549,0.419055,0.47662,0.06285639999999999,0.092979,0.13758320000000002,0.1791804,0.20611559999999998,0.2911804,0.18636286255999998,0.20893700010000002,0.24555380528000004,0.26213749016,0.29173853274,0.36574566316,0.06285639999999999,0.092979,0.13758320000000002,0.1791804,0.20611559999999998,0.2911804,5.94909,5.95268,6.687892,9.706418,11.409588000000001,14.954166,56.792,1.2129,0.6599,1.2438,58.663,0.17771800000000001
508,0.18694483708300969,-0.004302536434520832,-0.03145194757622338,0.08137724422751069,0.5390416901954969,0.5899772766819267,0.5823983493948584,0.5843162040020253,0.5397197225282802,0.44022772388292375,0.21500282362433032,0.12276120975955185,0.7757000000000001,0.6943,0.0547,0.7221000000000001,0.7117,0.9163,0.9661,0.15550000000000005,0.0473,0.4069,0.9839,0.3543516,0.36229759999999994,0.385676,0.3671084,0.4010138,0.4589192,0.0782916,0.124551,0.16284079999999998,0.20864760000000002,0.23277640000000002,0.32064760000000003,0.190620414,0.22129009153999998,0.25351244288,0.27312529952,0.30123219805999996,0.37691031403999997,0.0782916,0.124551,0.16284079999999998,0.20864760000000002,0.23277640000000002,0.32064760000000003,6.07779,6.0450800000000005,6.797452000000001,9.930158,11.656428000000002,15.213546,66.936,2.3271,0.0547,1.4442000000000002,72.487,0.168282
532,-0.024057195855633706,-0.6052699903292962,-0.1832825602611452,-0.09486201667230354,0.4423064940548521,0.49395265597551374,0.5232715684284884,0.5327904519603617,0.5007255066044718,0.39539509167196474,0.1828841725811574,0.12363786598144288,0.4407,0.6241,0.7205,0.8017000000000001,0.8115,0.8809,0.7929,0.6925,0.4479,0.2345,0.7157,0.3912068,0.4071648,0.43374799999999997,0.4103732,0.4434774,0.5005816000000001,0.0664908,0.100413,0.14353039999999997,0.1861188,0.21239320000000003,0.2981188,0.142636702,0.17234629710000002,0.21158642719999998,0.2387064568,0.2665824449,0.3455963266000001,0.0664908,0.100413,0.14353039999999997,0.1861188,0.21239320000000003,0.2981188,5.40231,5.56012,6.222428000000002,8.755861999999999,10.360892,13.852194,74.92,1.3221,0.7205,1.6034000000000002,66.169,0.163326
