,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
41,0.285911095528515,-0.017759196276938782,-0.13734266723235744,0.014021884811217578,0.2345492250818999,0.2317392842707049,0.2957245885684243,0.41150781309135487,0.4945621963791753,0.6095102471649221,0.6433581766958218,0.43268286543121726,0.4311,0.19330000000000006,0.5009,0.1773,0.2591,0.9979,0.7181000000000001,0.7171000000000001,0.4569,0.3821,0.4785,0.3920348,0.4081728,0.434828,0.4113452,0.4444314,0.5015175999999999,0.056054000000000014,0.079065,0.126452,0.166194,0.194366,0.278194,0.18443226368000004,0.20481709037999998,0.2442824696,0.25986627351999997,0.28991598934,0.36352594755999995,0.056054000000000014,0.079065,0.126452,0.166194,0.194366,0.278194,5.11059,5.3506800000000005,5.9740920000000015,8.248717999999998,9.801388000000001,13.264266,30.728,1.2933,0.5009,0.3546,27.397,0.179706
91,0.2598870360142389,-0.2134960329660427,-0.2506577315333236,-0.21443078258111026,-0.13434593436069298,-0.48420257565816627,-0.3412715471227339,-0.069472546228879,0.16165583696274588,0.4760276333712822,0.6420793854695102,0.517442755249899,0.1931,0.1493,0.5119,0.2615,0.6777,0.4467,0.0641,0.8345,0.7023,0.4091,0.4075,0.4146116,0.4356576,0.464276,0.4378484,0.4704438,0.5270391999999999,0.052930000000000005,0.07267499999999999,0.12134,0.16022999999999998,0.18897,0.27223,0.20089394256,0.22117118165999997,0.2616351176,0.27380368744000005,0.30412093158000003,0.37647244372,0.052930000000000005,0.07267499999999999,0.12134,0.16022999999999998,0.18897,0.27223,2.55999,3.51948,3.8028120000000003,3.814598,4.909468,8.123826000000001,64.21600000000001,0.5792999999999999,0.5119,0.523,23.437,0.102538
141,0.24410897250869645,-0.08332183885270816,-0.15941110191477081,0.024309789628192302,0.28834148605769694,0.34246764731984214,0.419850840024131,0.5078261318030449,0.5809248052051659,0.6619300996849449,0.6229765287531506,0.40110802136938406,0.24370000000000006,0.0963,0.6773,0.3791,0.8359000000000001,0.6983,0.7169000000000001,0.0825,0.6427,0.4357,0.6417,0.4091284,0.42898240000000004,0.457124,0.4314116,0.4641262,0.5208408,0.06323480000000001,0.093753,0.13820239999999998,0.17990279999999997,0.2067692,0.29190279999999996,0.21394064152000006,0.23981244958000006,0.27715654112,0.28948518415999996,0.3188996449000001,0.3916510866,0.06323480000000001,0.093753,0.13820239999999998,0.17990279999999997,0.2067692,0.29190279999999996,5.10591,5.34732,5.970108,8.240582,9.792411999999999,13.254833999999999,76.87200000000001,0.7311000000000001,0.6773,0.7582,18.667,0.137762
154,-0.031150508803727606,-0.4912441459643506,-0.7333399407879331,-0.8283139203579855,-0.2705126804817042,-0.287175887046488,0.059829960384724656,0.4031897720529666,0.6213397793882534,0.7518388592254698,0.6315990651316685,0.2988683775030888,0.27070000000000005,0.5749,0.16150000000000006,0.3893,0.6325000000000001,0.9261,0.0669,0.5937,0.7241000000000001,0.7131000000000001,0.2231,0.4166172,0.4380992,0.466892,0.4402028,0.4727545999999999,0.5293064000000001,0.044816400000000006,0.056079,0.10806320000000001,0.1447404,0.17495560000000002,0.2567404,0.3099475504800001,0.32849760462,0.36394401728,0.35543463744000003,0.3873160669000001,0.4511072146,0.044816400000000006,0.056079,0.10806320000000001,0.1447404,0.17495560000000002,0.2567404,2.57091,3.5273199999999996,3.8121080000000003,3.833582,4.9304120000000005,8.145833999999999,60.60000000000001,0.8121000000000002,0.16150000000000006,0.7786000000000001,61.74100000000001,0.169654
178,0.09879864718055298,-0.26691270607771456,-0.4019249717734177,-0.30409854501295364,0.08817990581300361,0.41860674882740545,0.5788333505957688,0.6479435164264544,0.6558304542263556,0.6521991741455553,0.6412902782052343,0.32209646302508377,0.7625000000000001,0.0791,0.6269,0.0733,0.9709,0.7675000000000001,0.3687,0.7355,0.0105,0.5387000000000001,0.1509,0.350966,0.358176,0.38126,0.363134,0.397113,0.455092,0.041639600000000006,0.049581,0.10286480000000002,0.1386756,0.1694684,0.2506756,0.20827373168,0.2158211265,0.25283629424000004,0.25959134008,0.29210054601999996,0.36079471468,0.041639600000000006,0.049581,0.10286480000000002,0.1386756,0.1694684,0.2506756,3.74793,4.37236,4.814083999999999,5.879786,7.187875999999999,10.517982,87.67200000000003,2.2875,0.6269,0.1466,17.119,0.14745
430,0.29152883920162453,-0.02107817162974701,0.020269120466648638,0.14837802555815627,0.21470372081722555,0.023912189208681323,0.06650260042104827,0.2189664787927016,0.3609859492018429,0.5829761294830744,0.6491584011186008,0.4877741252938501,0.9535,0.31210000000000004,0.30110000000000003,0.1809,0.8067,0.7421,0.8383,0.9609,0.4053,0.5079,0.5885,0.38728759999999995,0.4023936,0.42863599999999996,0.40577240000000003,0.43896179999999996,0.49615119999999996,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,0.22666930944,0.24815538594,0.28382868559999996,0.29242287336,0.32271016282000003,0.39344146588,0.060894,0.08896499999999999,0.134372,0.17543399999999998,0.202726,0.287434,5.57937,5.687239999999999,6.373156,9.063674,10.700484,14.209038,74.536,2.8605,0.30110000000000003,0.3618,38.08900000000001,0.143894
548,0.26504394091863615,-0.09576834797148526,-0.10522556922641768,-0.05384645887691475,0.04311002956548693,-0.20200781742597718,-0.09513082046580656,0.19675070271347217,0.44674896872185954,0.6773136837466677,0.6624213256692454,0.47693633132738766,0.5417000000000001,0.2005,0.2201,0.1927,0.7761,0.7941,0.3229,0.2581,0.5957,0.2621,0.9555,0.4048044,0.4237184,0.451484,0.4263356,0.4591442,0.5159528,0.077042,0.121995,0.160796,0.206262,0.230618,0.318262,0.16294852504,0.20107670314,0.2369853248,0.26394329056,0.29051471702000004,0.37007675868,0.077042,0.121995,0.160796,0.206262,0.230618,0.318262,3.5693099999999998,4.24412,4.662028,5.569262,6.8452920000000015,10.157994,72.08800000000001,1.6251000000000002,0.2201,0.3854,28.045,0.151174
569,0.2680800179656513,-0.21908944538225494,-0.32311345579149187,-0.1859476718277011,0.013623467530947453,-0.12284174982919249,0.0701639674752439,0.2768445468767833,0.4015665684288343,0.5498437983133206,0.6199255271186049,0.48618032322830584,0.0585,0.33190000000000003,0.5647,0.2605,0.4225,0.9225,0.5513,0.35810000000000003,0.5327000000000001,0.8611,0.7545000000000001,0.39900840000000004,0.4166624,0.443924,0.4195316,0.4524662,0.5094008000000001,0.06819800000000001,0.103905,0.146324,0.189378,0.215342,0.30137800000000003,0.35305883543999994,0.37322039714,0.40258736,0.38756326496,0.41952964862,0.4805064330800001,0.06819800000000001,0.103905,0.146324,0.189378,0.215342,0.30137800000000003,4.46007,4.88364,5.420316000000001,7.117814,8.553723999999999,11.953218,43.8,0.17550000000000002,0.5647,0.521,39.871,0.16915
993,0.03077165781504254,-0.5241575206181581,-0.6051433817648164,-0.7939962167147689,-0.43447223866830775,-0.5953613001760587,-0.23430108307534425,0.16648161649787296,0.4420178549955981,0.671631454659646,0.6549044480277131,0.3796364024511929,0.2489,0.4115,0.5781000000000001,0.2773,0.5421,0.7517,0.2329,0.0557,0.5905,0.6343000000000001,0.4221,0.404326,0.423136,0.45086,0.425774,0.458593,0.515412,0.053572400000000006,0.073989,0.1223912,0.16145639999999997,0.1900796,0.27345640000000004,0.27605540848000004,0.2954529421000001,0.33073895984,0.32911305368,0.36039764962,0.42692883708000007,0.053572400000000006,0.073989,0.1223912,0.16145639999999997,0.1900796,0.27345640000000004,3.21831,3.99212,4.3632279999999986,4.9590619999999985,6.172091999999999,9.450594,53.368,0.7467,0.5781000000000001,0.5546,47.035,0.145238
1207,0.16826832640283673,-0.28754435069181006,-0.2542346828769553,-0.30024308530771093,-0.0902496283646228,-0.20492491635951016,0.07601373988413074,0.34447927235475984,0.5191781260644812,0.6775151934847046,0.6213086689473268,0.4161920657154722,0.050100000000000006,0.2187,0.4951,0.4239000000000001,0.6739,0.8023,0.7661,0.9825,0.062300000000000015,0.6887000000000001,0.0493,0.3557316,0.36397759999999996,0.38747600000000004,0.3687284,0.4026038,0.4604792,0.03716919999999999,0.040437,0.09554960000000001,0.1301412,0.1617468,0.24214120000000003,0.25656312488,0.26325941121999996,0.29659931168000003,0.29445620464,0.32762501590000004,0.3925105806000001,0.03716919999999999,0.040437,0.09554960000000001,0.1301412,0.1617468,0.24214120000000003,5.29779,5.48508,6.133451999999999,8.574158,10.160428,13.641546,63.912000000000006,0.15030000000000002,0.4951,0.8478000000000001,29.683000000000003,0.152322
