,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
55,-0.02413444141188026,-0.4863838662234208,-0.5681029186402091,-0.6604581232790374,-0.163896027290918,-0.09908583550774708,0.24898271736278443,0.5355237494994625,0.6917197841336729,0.7302064845034171,0.5535517465585333,0.27502212668288206,0.2263,0.7287,0.3717,0.3671,0.4787,0.5845,0.2501,0.7503000000000001,0.5407000000000001,0.7803,0.3487,0.39974440000000006,0.4175584,0.444884,0.42039560000000004,0.4533142,0.5102327999999999,0.050342800000000014,0.067383,0.11710639999999999,0.15529079999999998,0.1845012,0.2672908,0.32298086848,0.34062486462,0.37287126128,0.36215207544,0.3942559839,0.45685844259999997,0.050342800000000014,0.067383,0.11710639999999999,0.15529079999999998,0.1845012,0.2672908,3.28539,4.04028,4.420332,5.075678,6.3007480000000005,9.585786,48.29600000000001,0.6789000000000001,0.3717,0.7342,75.583,0.12183
154,-0.031150508803727606,-0.4912441459643506,-0.7333399407879331,-0.8283139203579855,-0.2705126804817042,-0.287175887046488,0.059829960384724656,0.4031897720529666,0.6213397793882534,0.7518388592254698,0.6315990651316685,0.2988683775030888,0.27070000000000005,0.5749,0.16150000000000006,0.3893,0.6325000000000001,0.9261,0.0669,0.5937,0.7241000000000001,0.7131000000000001,0.2231,0.4166172,0.4380992,0.466892,0.4402028,0.4727545999999999,0.5293064000000001,0.044816400000000006,0.056079,0.10806320000000001,0.1447404,0.17495560000000002,0.2567404,0.3099475504800001,0.32849760462,0.36394401728,0.35543463744000003,0.3873160669000001,0.4511072146,0.044816400000000006,0.056079,0.10806320000000001,0.1447404,0.17495560000000002,0.2567404,2.57091,3.5273199999999996,3.8121080000000003,3.833582,4.9304120000000005,8.145833999999999,60.60000000000001,0.8121000000000002,0.16150000000000006,0.7786000000000001,61.74100000000001,0.169654
165,0.19954334492648973,-0.09393928741037971,-0.02576374060756126,0.10074696384646309,0.32345822937276025,0.3668988958641507,0.4909416078199639,0.6307390227860751,0.7242789108115015,0.7257835757691079,0.5302202171232844,0.3399491088797014,0.5057,0.5303,0.1481,0.5339,0.8747,0.3861,0.5927,0.0121,0.1287,0.8997,0.6535,0.36184040000000006,0.37141440000000003,0.395444,0.37589959999999994,0.40964220000000007,0.4673848,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,0.33194233408,0.34367148018,0.3697278824,0.35634053831999996,0.38938398714,0.44988337276,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,4.62153,4.99956,5.5577640000000015,7.398505999999999,8.863396,12.278622,79.976,1.5171,0.1481,1.0678,57.727,0.094054
298,0.13755178376639843,-0.27035184615846797,-0.21437967593333185,-0.2871688051851484,0.002660152632162349,0.05167127902033375,0.3216903949809372,0.5579515554215124,0.708430182466667,0.7439124814139358,0.5530621971990158,0.32452411485508237,0.3705000000000001,0.4291,0.3107,0.3135,0.4111,0.8671,0.2385,0.0993,0.8219000000000001,0.4407,0.5923,0.4256148,0.44905280000000003,0.478628,0.4507652,0.4831214,0.5394776000000001,0.061061199999999996,0.08930700000000001,0.1346456,0.17575320000000003,0.2030148,0.28775320000000004,0.22171997152000006,0.24784697406,0.28623864368,0.2969509884,0.32645777861999997,0.3986881430800001,0.061061199999999996,0.08930700000000001,0.1346456,0.17575320000000003,0.2030148,0.28775320000000004,3.24015,4.0078,4.381819999999999,4.9970300000000005,6.2139799999999985,9.49461,42.88800000000001,1.1115000000000002,0.3107,0.627,48.619,0.16139399999999998
485,0.06645583793566157,-0.2572864886907733,-0.5200085317308518,-0.5597316158605925,-0.07276022438134966,-0.15101075845541123,0.10199950925148682,0.4261695909299663,0.6371326375704482,0.7511933088883331,0.5994412111050038,0.29028690940481405,0.5483,0.2871,0.2101,0.30110000000000003,0.9839,0.8097000000000001,0.3937000000000001,0.3297,0.2965,0.34650000000000003,0.7297,0.377278,0.390208,0.41558,0.394022,0.427429,0.484836,0.0671068,0.101673,0.1445384,0.1872948,0.2134572,0.29929479999999997,0.1745811208,0.2016503775,0.23845431440000006,0.2589257748,0.2875984287,0.3635848258000001,0.0671068,0.101673,0.1445384,0.1872948,0.2134572,0.29929479999999997,3.84543,4.44236,4.8970839999999995,6.049286,7.3748759999999995,10.714482,88.712,1.6449,0.2101,0.6022000000000001,35.839,0.153358
509,-0.04402838631925343,-0.3467183204550408,-0.605920163401193,-0.5938681489848996,-0.01532658423451494,-0.004979094237341775,0.2550392361582645,0.5372333718598503,0.6920509131195127,0.7448445970399864,0.5746574550984507,0.25572843022662595,0.4085,0.5919000000000001,0.0573,0.5067,0.9183,0.4445,0.3063,0.9149,0.1629,0.8197000000000001,0.2373,0.3649868,0.3752448,0.399548,0.3795932,0.4132674,0.4709416,0.0454412,0.057357000000000005,0.1090856,0.1459332,0.1760348,0.25793320000000003,0.30737272832,0.31792962966000005,0.3471776292800001,0.33746430200000005,0.37049436222,0.4325361854800001,0.0454412,0.057357000000000005,0.1090856,0.1459332,0.1760348,0.25793320000000003,3.5045699999999997,4.19764,4.606916,5.456714,6.7211240000000005,10.027517999999999,83.464,1.2255,0.0573,1.0134,63.27100000000001,0.10223
534,0.05048834893577647,-0.6076810828120336,-0.6428718316095992,-0.5534460374115548,-0.32142039444378345,-0.4407657140066865,-0.09785025832332117,0.33516515678540604,0.6447904585361554,0.730302187064678,0.5462858689632368,0.31524337448661044,0.7929,0.3115,0.0943,0.12630000000000002,0.6609,0.5569000000000001,0.2619,0.3613,0.0757,0.0435,0.7051000000000001,0.3569644,0.36547840000000004,0.38908400000000004,0.3701756,0.4040242,0.4618728,0.06602440000000001,0.099459,0.1427672,0.1852284,0.2115876,0.2972284,0.07868029000000001,0.11103084390000001,0.1534819808,0.1932736032,0.2199585921,0.3043904314,0.06602440000000001,0.099459,0.1427672,0.1852284,0.2115876,0.2972284,3.33141,4.07332,4.4595080000000005,5.1556820000000005,6.389012,9.678533999999999,62.872,2.3787000000000003,0.0943,0.25260000000000005,38.035,0.11796600000000003
628,0.16654763684977658,-0.08533395887170436,-0.07069049059770793,0.04478394655060569,0.29835468826651956,0.38724703910921954,0.5241287669670569,0.6353955167919791,0.7191149483165553,0.7172239619928247,0.5058120694444005,0.27819646331546677,0.5045000000000001,0.5131,0.8983000000000001,0.5239,0.7615000000000001,0.8879,0.27990000000000004,0.0021000000000000003,0.7675000000000001,0.7921,0.5553,0.42061000000000004,0.44296,0.4721,0.44488999999999995,0.477355,0.5338200000000001,0.05943320000000001,0.085977,0.1319816,0.17264520000000003,0.2002028,0.28464520000000004,0.34552134328,0.3687432343,0.4013893846400001,0.38829030608,0.4197350576200001,0.4820165590800001,0.05943320000000001,0.085977,0.1319816,0.17264520000000003,0.2002028,0.28464520000000004,3.40161,4.12372,4.519268,5.277722000000002,6.523651999999999,9.820014,70.92,1.5135,0.8983000000000001,1.0478,56.178999999999995,0.16430599999999998
680,0.18252645449535942,-0.0561564928262297,-0.08730302250475863,0.1309432742202009,0.3192256870723831,0.33291739152507627,0.47054291448935437,0.5924897951139696,0.6794726836146796,0.7303753300171445,0.5929176327482004,0.30577668887495724,0.5307000000000001,0.7845,0.2241,0.2197,0.1199,0.9295,0.2333,0.6835,0.1243,0.9481,0.06670000000000001,0.3614356,0.3709216,0.394916,0.3754244,0.4091758,0.4669272,0.037934800000000005,0.042003,0.09680239999999998,0.1316028,0.1630692,0.2436028,0.34464590848000004,0.35385072466,0.37944390416,0.36277005896,0.3964028674600001,0.45533666364,0.037934800000000005,0.042003,0.09680239999999998,0.1316028,0.1630692,0.2436028,3.21987,3.99324,4.364555999999999,4.961774,6.175084,9.453738000000001,19.592,1.5921000000000003,0.2241,0.4394,80.605,0.17013
719,0.09568500842903926,-0.2506376720257153,-0.2873905422981422,-0.24407225168414093,0.11302187067373948,0.174750977468901,0.3928423496809642,0.5891696038723659,0.7165714704395287,0.7617285457517705,0.6056345758334774,0.3191879770228955,0.0143,0.4007000000000001,0.8457,0.6383000000000001,0.8739,0.9235,0.3745000000000001,0.5475,0.9565,0.7781,0.3797,0.43799799999999994,0.464128,0.49478,0.46530200000000005,0.497389,0.5534760000000001,0.0517068,0.070173,0.1193384,0.15789479999999997,0.1868572,0.2698948,0.35227998272,0.3767093855,0.41146950895999995,0.39708834232,0.42848199358,0.49054933172,0.0517068,0.070173,0.1193384,0.15789479999999997,0.1868572,0.2698948,3.77055,4.3886,4.83334,5.91911,7.231260000000002,10.56357,79.91199999999999,0.0429,0.8457,1.2766000000000002,46.063,0.16929
