,nse_jan,nse_feb,nse_mar,nse_apr,nse_may,nse_jun,nse_jul,nse_aug,nse_sep,nse_oct,nse_nov,nse_dec,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
107,0.15797996652833068,-0.1438365401762458,-0.05597510960260221,0.04630254784286447,0.27571879303352775,0.3511473463884709,0.5263770611862775,0.6466919275507998,0.717976344044724,0.6907135288869061,0.45974994351741816,0.25262393570880637,0.5821000000000001,0.4661,0.7027,0.3737,0.5561,0.7575000000000001,0.9273,0.24370000000000006,0.13090000000000002,0.6489,0.8445,0.3620428,0.3716608,0.395708,0.3761372,0.4098754,0.46761359999999996,0.072158,0.112005,0.152804,0.196938,0.222182,0.308938,0.26026424672000004,0.28049564862,0.3104244056,0.31322036088000005,0.34397624726,0.41190259684,0.072158,0.112005,0.152804,0.196938,0.222182,0.308938,5.92647,5.936439999999998,6.668636,9.667094,11.366204,14.908578,54.488,1.7463000000000002,0.7027,0.7474000000000001,51.949,0.14605
165,0.19954334492648973,-0.09393928741037971,-0.02576374060756126,0.10074696384646309,0.32345822937276025,0.3668988958641507,0.4909416078199639,0.6307390227860751,0.7242789108115015,0.7257835757691079,0.5302202171232844,0.3399491088797014,0.5057,0.5303,0.1481,0.5339,0.8747,0.3861,0.5927,0.0121,0.1287,0.8997,0.6535,0.36184040000000006,0.37141440000000003,0.395444,0.37589959999999994,0.40964220000000007,0.4673848,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,0.33194233408,0.34367148018,0.3697278824,0.35634053831999996,0.38938398714,0.44988337276,0.06375399999999999,0.09481499999999997,0.139052,0.180894,0.207666,0.292894,4.62153,4.99956,5.5577640000000015,7.398505999999999,8.863396,12.278622,79.976,1.5171,0.1481,1.0678,57.727,0.094054
173,-0.12493283166928704,-0.5963032727630664,-0.7641043653250057,-0.7542223116477014,-0.04329353611417841,0.14045721400920563,0.42311147090184487,0.6364900319991027,0.7236339551912274,0.6824603682113859,0.4651997302834736,0.06039155041584343,0.08990000000000001,0.8575,0.2375,0.5579000000000001,0.8129000000000001,0.5201,0.2787,0.6555,0.8299000000000001,0.8367,0.7901,0.4263508,0.44994880000000004,0.479588,0.4516292,0.48396940000000005,0.5403096000000001,0.06976439999999999,0.107109,0.1488872,0.1923684,0.2180476,0.30436840000000004,0.36812024088,0.39396306066,0.42558455935999995,0.40929191136,0.44054437006,0.5017804020400001,0.06976439999999999,0.107109,0.1488872,0.1923684,0.2180476,0.30436840000000004,3.39693,4.12036,4.515283999999999,5.269586,6.514676000000001,9.810582,75.03200000000002,0.26970000000000005,0.2375,1.1158,87.175,0.11281400000000001
233,0.11028210013911577,-0.13470951774954476,-0.10409395568600455,-0.07109301107710331,0.3312050483278709,0.4486441772926485,0.5891033956628109,0.6898766461849923,0.7241765788411768,0.654180281447492,0.40988310915396053,0.20004403808182614,0.8445,0.9451,0.7903,0.4525,0.4313,0.8549,0.23210000000000006,0.6109,0.2307,0.8009000000000001,0.1249,0.3712244,0.3828384,0.407684,0.3869156,0.42045420000000006,0.4779928,0.040495600000000014,0.047241000000000005,0.1009928,0.13649160000000002,0.16749239999999999,0.2484916,0.30537629592000004,0.31602095766,0.34662178208000005,0.33705618159999995,0.37008950562,0.43229911108,0.040495600000000014,0.047241000000000005,0.1009928,0.13649160000000002,0.16749239999999999,0.2484916,3.21519,3.9898800000000003,4.360572,4.953638,6.166108,9.444306,44.50400000000001,2.5335,0.7903,0.905,95.059,0.159686
445,0.14976891143517712,-0.1814569206254446,-0.0547498324952298,0.20853796755002074,0.3319489299564544,0.3970516170236348,0.5870969844211069,0.6847713597638052,0.7249733891768604,0.6770227993875035,0.4072587638521975,0.13448036615492176,0.8629,0.8971,0.8087,0.3271,0.1907,0.9541,0.1047,0.2619,0.2803,0.6849000000000001,0.0211,0.3757876,0.38839359999999995,0.41363599999999995,0.3922724,0.4257118,0.48315119999999995,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,0.26869796608,0.27795275154000004,0.31276719632,0.30892845,0.34186110618000004,0.4064625401200001,0.035928400000000006,0.037899,0.0935192,0.12777239999999998,0.1596036,0.23977240000000002,2.71833,3.63316,3.937604,4.089866000000001,5.213156,8.442942,25.256,2.5887,0.8087,0.6542,90.73899999999999,0.173574
482,-0.13942980976621988,-0.966162123949917,-0.8036120751812412,-0.6751001001211021,0.027148543623448762,0.15607540180957213,0.38010893865025897,0.6115527977350016,0.7111803541691449,0.650322849496754,0.40054701117463376,-0.03370325121803153,0.5285,0.6269,0.0839,0.5773,0.9727,0.7539,0.1077,0.5333,0.8425,0.4695,0.3711,0.42751000000000006,0.45136000000000004,0.4811,0.45298999999999995,0.48530500000000004,0.54162,0.051328399999999996,0.06939899999999999,0.1187192,0.1571724,0.1862036,0.26917240000000003,0.2279456612,0.2487296895,0.28885698559999995,0.2960587632,0.3266317073,0.3970865482,0.051328399999999996,0.06939899999999999,0.1187192,0.1571724,0.1862036,0.26917240000000003,2.7300299999999997,3.64156,3.947564,4.110206,5.235596,8.466522,87.816,1.5855,0.0839,1.1546,66.42099999999999,0.14554599999999998
518,0.027777206954544997,-0.307991401830211,-0.31710229498923104,-0.24918027421264788,0.1416657523919178,0.2917331456613712,0.5056067704316591,0.6542847529903806,0.7285502395199626,0.6848141208767544,0.46511657957771557,0.19103505613553717,0.3265,0.7599,0.9387,0.4915000000000001,0.6307,0.8131,0.4631,0.9727,0.8513000000000001,0.8283,0.9119,0.42831959999999997,0.4523456,0.482156,0.4539404,0.4862378,0.5425352000000001,0.07512360000000001,0.118071,0.15765679999999999,0.20259960000000002,0.2273044,0.3145996,0.3676758468,0.3949506511800001,0.42643948736,0.41078518464,0.44177893522,0.5033986574800001,0.07512360000000001,0.118071,0.15765679999999999,0.20259960000000002,0.2273044,0.3145996,4.11609,4.63668,5.127492,6.519818,7.893988,11.259966,60.456,0.9795,0.9387,0.983,78.391,0.153834
628,0.16654763684977658,-0.08533395887170436,-0.07069049059770793,0.04478394655060569,0.29835468826651956,0.38724703910921954,0.5241287669670569,0.6353955167919791,0.7191149483165553,0.7172239619928247,0.5058120694444005,0.27819646331546677,0.5045000000000001,0.5131,0.8983000000000001,0.5239,0.7615000000000001,0.8879,0.27990000000000004,0.0021000000000000003,0.7675000000000001,0.7921,0.5553,0.42061000000000004,0.44296,0.4721,0.44488999999999995,0.477355,0.5338200000000001,0.05943320000000001,0.085977,0.1319816,0.17264520000000003,0.2002028,0.28464520000000004,0.34552134328,0.3687432343,0.4013893846400001,0.38829030608,0.4197350576200001,0.4820165590800001,0.05943320000000001,0.085977,0.1319816,0.17264520000000003,0.2002028,0.28464520000000004,3.40161,4.12372,4.519268,5.277722000000002,6.523651999999999,9.820014,70.92,1.5135,0.8983000000000001,1.0478,56.178999999999995,0.16430599999999998
658,0.06716811994748983,-0.17267134499485137,-0.13962316643134853,-0.0401305812478967,0.29364061435679323,0.44652346991093206,0.5888732845622531,0.6752526415241598,0.7115430269203966,0.6341850754145826,0.3885015664031576,0.1467911027854637,0.7523000000000001,0.9091,0.4791,0.5021,0.5427,0.9831,0.3501,0.0381,0.9617,0.7911,0.7417,0.4384764,0.4647104,0.495404,0.46586359999999993,0.4979402,0.5540168000000001,0.06763480000000001,0.102753,0.1454024,0.1883028,0.2143692,0.3003028,0.36100758975999997,0.38909749914,0.42228866575999996,0.40788114888000004,0.4387022181,0.5010159453999999,0.06763480000000001,0.102753,0.1454024,0.1883028,0.2143692,0.3003028,3.67539,4.32028,4.752332,5.753678000000002,7.048748,10.371786,53.416000000000004,2.2569000000000004,0.4791,1.0042,91.819,0.177634
719,0.09568500842903926,-0.2506376720257153,-0.2873905422981422,-0.24407225168414093,0.11302187067373948,0.174750977468901,0.3928423496809642,0.5891696038723659,0.7165714704395287,0.7617285457517705,0.6056345758334774,0.3191879770228955,0.0143,0.4007000000000001,0.8457,0.6383000000000001,0.8739,0.9235,0.3745000000000001,0.5475,0.9565,0.7781,0.3797,0.43799799999999994,0.464128,0.49478,0.46530200000000005,0.497389,0.5534760000000001,0.0517068,0.070173,0.1193384,0.15789479999999997,0.1868572,0.2698948,0.35227998272,0.3767093855,0.41146950895999995,0.39708834232,0.42848199358,0.49054933172,0.0517068,0.070173,0.1193384,0.15789479999999997,0.1868572,0.2698948,3.77055,4.3886,4.83334,5.91911,7.231260000000002,10.56357,79.91199999999999,0.0429,0.8457,1.2766000000000002,46.063,0.16929
