,p25_corr,p50_corr,std_ratio_mean,rmse,nse_all,rmf_frac,vcmx_frac,dilefw_frac,ltovrc_frac,sla_frac,qe_frac,bb_frac,smcdry_frac,smcmax_frac,reffrac,wltfrac,smcmax_2,smcmax_3,smcmax_6,smcmax_7,smcmax_9,smcmax_12,smcwlt_2,smcwlt_3,smcwlt_6,smcwlt_7,smcwlt_9,smcwlt_12,smcref_2,smcref_3,smcref_6,smcref_7,smcref_9,smcref_12,smcdry_2,smcdry_3,smcdry_6,smcdry_7,smcdry_9,smcdry_12,bb_2,bb_3,bb_6,bb_7,bb_9,bb_12,sla,rmf,dilefw,ltovrc,vcmx,qe
48,0.29876425712904675,0.6381124143885029,0.7270478,0.80891097,0.44173056941488154,0.3651,0.4807,0.08910000000000001,0.9429,0.9145,0.8783000000000001,0.8975000000000001,0.0141,0.0937,0.7419,0.5239,0.3586204,0.36749440000000005,0.391244,0.3721196,0.4059322,0.4637448,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,0.28104359272,0.29410536846,0.32374486208000003,0.3199544928,0.35221751202,0.41683842868,0.058051599999999995,0.083151,0.1297208,0.1700076,0.1978164,0.28200759999999997,5.81025,5.853,6.569700000000001,9.465050000000002,11.1433,14.67435,83.16000000000003,1.0953,0.08910000000000001,1.8858,53.263000000000005,0.162962
66,0.29723079380834966,0.6038873232831611,0.66795105,0.8103561,0.4397341552103471,0.1951,0.6107,0.7063,0.8969,0.6801,0.8797,0.4081,0.5687,0.0099,0.8343,0.0673,0.3509108,0.35810879999999995,0.381188,0.3630692,0.3970494,0.4550296,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,0.29905505128000004,0.30573901674000004,0.33407246432000004,0.3247235688,0.35828643678000005,0.42000453052,0.037961199999999994,0.042057,0.0968456,0.13165320000000003,0.1631148,0.24365320000000001,3.90159,4.48268,4.944891999999999,6.146918,7.482588000000001,10.827666,64.408,0.5852999999999999,0.7063,1.7938,64.96300000000001,0.163158
1528,0.03517548408363201,0.3776139403232855,0.50596875,0.8292666,0.4132802685237621,0.17170000000000002,0.1845,0.5347000000000001,0.6473,0.6843,0.9727,0.6191,0.3427,0.1175,0.3523,0.3893,0.36081,0.37016,0.3941,0.37469,0.408455,0.46621999999999997,0.052129199999999994,0.07103699999999999,0.1200296,0.15870120000000001,0.1875868,0.27070120000000003,0.16087744584,0.1764180329,0.21658460191999998,0.23479405424000002,0.26539866686,0.33958247324,0.052129199999999994,0.07103699999999999,0.1200296,0.15870120000000001,0.1875868,0.27070120000000003,4.7244899999999985,5.07348,5.645412,7.577497999999999,9.060868,12.486125999999999,64.744,0.5151000000000001,0.5347000000000001,1.2946,26.605,0.176178
1937,0.3366788316078484,0.6494754089781076,0.9848471,0.82262963,0.4226341947541773,0.4207,0.35850000000000004,0.9593,0.7351000000000001,0.9945,0.9543,0.7657,0.5449,0.0127,0.6185,0.2585,0.35116840000000005,0.35842240000000003,0.381524,0.3633716,0.3973462,0.45532079999999997,0.046374000000000005,0.059265,0.11061199999999999,0.147714,0.177646,0.259714,0.2348893364,0.2442938519,0.278171072,0.2810982256,0.31353057370000004,0.3806968058,0.046374000000000005,0.059265,0.11061199999999999,0.147714,0.177646,0.259714,5.29623,5.48396,6.132124,8.571446000000002,10.157436,13.638402,89.56,1.2621,0.9593,1.4702000000000002,42.265,0.173602
2388,0.21096826605313546,0.5746320047960394,0.6477887,0.8310451,0.41076092581382184,0.3377,0.5273,0.8023,0.7205,0.8265,0.9237,0.9061,0.4499,0.0413,0.8813000000000001,0.9095,0.35379959999999994,0.3616256,0.384956,0.3664604,0.4003778,0.4582952,0.075018,0.11785500000000003,0.15748399999999999,0.202398,0.227122,0.314398,0.32070822408000005,0.33269002978,0.3579550736,0.34698619312,0.37981233654,0.44121460236000004,0.075018,0.11785500000000003,0.15748399999999999,0.202398,0.227122,0.314398,5.84379,5.8770799999999985,6.5982520000000005,9.523358,11.207628,14.741945999999999,76.12,1.0131,0.8023,1.4409999999999998,57.457,0.169318
2463,-0.01803952400294933,0.31892172294206517,0.42959425,0.8135318,0.4353341921504683,0.1761,0.1167,0.1497,0.5589000000000001,0.7793000000000001,0.6437,0.3149,0.8603000000000001,0.15810000000000002,0.0759,0.4617,0.3645452,0.3747072,0.398972,0.3790748,0.4127586,0.4704424,0.055314800000000004,0.077553,0.1252424,0.1647828,0.1930892,0.2767828,0.07878538735999999,0.10010700377999998,0.14601847664,0.1810475628,0.20976210745999999,0.29148156364,0.055314800000000004,0.077553,0.1252424,0.1647828,0.1930892,0.2767828,3.5381099999999996,4.22172,4.635468,5.515022,6.7854519999999985,10.095114,72.34400000000002,0.5283,0.1497,1.1178,20.503,0.130118
2592,0.3852051232785427,0.6923839225500088,1.0860369,0.83856547,0.4000482398113613,0.6075,0.3835,0.8251000000000001,0.4727,0.5745,0.8305,0.6975,0.9519,0.3849,0.008900000000000002,0.9585,0.3854108,0.4001088,0.426188,0.4035692,0.43679940000000006,0.49402959999999996,0.07717399999999999,0.12226499999999997,0.161012,0.206514,0.230846,0.31851399999999996,0.07991730752000001,0.12473780982,0.16337206640000002,0.20826779128,0.23267898526,0.32007608884,0.07717399999999999,0.12226499999999997,0.161012,0.206514,0.230846,0.31851399999999996,5.0302500000000006,5.292999999999998,5.9057,8.10905,9.6473,13.10235,55.96,1.8225,0.8251000000000001,0.9454,44.515,0.15627
2719,0.2529304131533158,0.5818544573496425,0.8048757,0.80925363,0.44125747752673683,0.3747,0.6133000000000001,0.2737,0.7533000000000001,0.7607,0.6621,0.4685,0.5703,0.2281,0.9501,0.0051,0.3709852,0.38254720000000003,0.40737199999999996,0.3866348,0.4201786,0.4777224000000001,0.0352244,0.036459,0.0923672,0.1264284,0.1583876,0.2384284,0.35423073608000005,0.36527739882,0.39165326048,0.3736505006400001,0.4071152291,0.4657816294000001,0.0352244,0.036459,0.0923672,0.1264284,0.1583876,0.2384284,4.13715,4.6518,5.14542,6.5564300000000015,7.93438,11.30241,70.85600000000001,1.1241,0.2737,1.5066000000000002,65.197,0.132694
3580,0.03228326614631954,0.44990295934995833,0.5701166,0.83021575,0.41193640888320415,0.8337,0.4609,0.6181000000000001,0.4189000000000001,0.7149000000000001,0.9951,0.9665,0.3147,0.1119,0.8387,0.7347,0.3602948,0.3695328,0.393428,0.3740852,0.4078614,0.4656376,0.06732679999999999,0.102123,0.14489839999999998,0.1877148,0.21383720000000003,0.29971479999999995,0.3130390616,0.32639959926,0.35334017552,0.34402365448,0.37656529654,0.43887425236,0.06732679999999999,0.102123,0.14489839999999998,0.1877148,0.21383720000000003,0.29971479999999995,6.07935,6.0462,6.798780000000002,9.93287,11.659419999999999,15.21669,67.19200000000001,2.5011,0.6181000000000001,0.8378000000000001,51.481,0.179314
3761,0.2085947476455709,0.5649736562099482,0.7846751,0.8204986,0.4256216456905362,0.32110000000000005,0.4449,0.5643,0.6125,0.8775000000000001,0.8069000000000001,0.7957000000000001,0.008300000000000002,0.0853,0.8961,0.7005,0.3578476,0.3665536,0.390236,0.3712124,0.40504179999999995,0.4628712,0.065822,0.09904500000000001,0.14243599999999998,0.184842,0.211238,0.296842,0.32750614016,0.33875945646,0.36448958,0.35184851544,0.38490558518,0.44562076611999996,0.065822,0.09904500000000001,0.14243599999999998,0.184842,0.211238,0.296842,5.41323,5.5679599999999985,6.231724,8.774846,10.381836,13.874201999999999,80.2,0.9633000000000002,0.5643,1.225,50.041,0.15296600000000002
